,type,location,price,area,link
75,Apartment,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,970,000",191 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-3296814.html
76,Apartment,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,800,000",215 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-residence-3412972.html
77,Apartment,"R7, New Capital City, Cairo","248,000",178 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-3323245.html
78,Villa,"Swan Lake Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","37,800,000",946 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-swan-lake-residence-3433141.html
79,Villa,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","28,000,000","1,050 ",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-3436080.html
80,Apartment,"Rock Vera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","1,929,000",158 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-rock-vera-3431539.html
81,Twin House,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","7,500,000",309 ,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-3296684.html
82,Villa,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo","10,500,000",730 ,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-90-street-dyar-compound-3205891.html
83,Apartment,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo","4,200,000",191 ,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-eastown-3244566.html
84,Duplex,"Sarayat Al Maadi, Hay El Maadi, Cairo","5,500,000",240 ,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-hay-el-maadi-sarayat-al-maadi-3415133.html
